role_id,role_title,masco_code,masco_source_page_pdf,rated_task_count,remote_capable_tasks,remote_onsite_tasks,remote_unclear_tasks,remote_pre_rating,ai_exposable_tasks,ai_exposure_share,ai_pre_rating,independent_raters_required,reconciliation_status,release_use,task_source_level,source_url
M214202,Civil Engineer,214202,,8,4,0,4,medium,4,0.5,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2142-02
M214203,Foundation Engineer,214203,,9,3,0,6,medium,5,0.5556,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2142-03
M214204,Quantity Surveyor,214204,,9,6,0,3,medium,4,0.4444,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2142-04
M214206,Engineer Grade J9,214206,,10,8,0,2,medium,5,0.5,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2142-06
M214207,Quantity Surveyor Grade J9/J10,214207,,10,7,0,3,medium,6,0.6,high,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2142-07
M214208,Building Surveyor Grade J9/J10,214208,,10,6,1,3,low,2,0.2,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2142-08
M214301,Environmental Engineer,214301,,10,3,0,7,medium,2,0.2,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2143-01
M214302,Environmental Analyst,214302,,9,5,0,4,medium,2,0.2222,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2143-02
M214401,Mechanical Engineer,214401,,8,4,2,2,low,6,0.75,high,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2144-01
M214402,Lift Engineer,214402,,7,3,0,4,medium,2,0.2857,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2144-02
M214403,Competent Person (CP) - Internal Combustion Engine Engineer,214403,,8,2,2,4,low,3,0.375,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2144-03
M214404,Welding Engineer,214404,,10,2,1,7,low,3,0.3,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2144-04
M214405,Engineering Technologist,214405,,10,6,2,2,low,6,0.6,high,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2144-05
M214406,Robotic Technologist,214406,,8,5,0,3,medium,5,0.625,high,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2144-06
M214407,Aerospace Engineer,214407,,8,7,0,1,medium,6,0.75,high,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2144-07
M214408,Mine Ventilation Engineer,214408,,9,3,2,4,low,3,0.3333,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2144-08
M214501,Chemical Engineer,214501,,10,3,2,5,low,5,0.5,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2145-01
M214601,Mining Engineer,214601,,10,3,2,5,low,3,0.3,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2146-01
M214602,Petroleum Mining Engineer,214602,,10,2,3,5,low,3,0.3,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2146-02
M214603,Metallurgist,214603,,8,4,2,2,low,4,0.5,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2146-03
M214604,Assayer,214604,,9,4,2,3,low,7,0.7778,high,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2146-04
M214605,Marine Section Leader,214605,,9,1,1,7,low,1,0.1111,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2146-05
