role_id,masco_code,role_title,locale,role_standard,crosswalk_status,crosswalk_confidence,mapped_masco2020_code,mapped_masco2020_title,global_sources,global_match_count,global_anchor_count,question_count,linked_open_qa_count,role_source_url,role_license_status
M161201,161201,Phytonutrients Manager,en-MY,MASCO 2020,retained,high,161210,Phytonutrients Manager,ESCO 1.2.1,1,6,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=324,official_source_rights_review_required_for_external_bulk_redistribution
M161202,161202,Health Educator,en-MY,MASCO 2020,retained,high,161211,Health Educator,ESCO 1.2.1,1,6,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=324,official_source_rights_review_required_for_external_bulk_redistribution
M161203,161203,Chief Nurse,en-MY,MASCO 2020,retained,medium,161202,"Director, Nursing",ESCO 1.2.1,1,6,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=324,official_source_rights_review_required_for_external_bulk_redistribution
M211101,211101,Physicist,en-MY,MASCO 2020,retained,high,211101,Physicist,ESCO 1.2.1; O*NET 31.0; OSCA 2024 Version 1.0,3,14,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=326,official_source_rights_review_required_for_external_bulk_redistribution
M211102,211102,Astronaut,en-MY,MASCO 2020,retained,high,211129,Astronaut,ESCO 1.2.1,1,6,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=327,official_source_rights_review_required_for_external_bulk_redistribution
M211201,211201,Meteorologist,en-MY,MASCO 2020,retained,high,211202,Meteorologist,ESCO 1.2.1; OSCA 2024 Version 1.0,2,10,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=327,official_source_rights_review_required_for_external_bulk_redistribution
M211202,211202,Meteorologist (Environmental),en-MY,MASCO 2020,retained,high,211210,"Meteorologist, Environmental",ESCO 1.2.1,1,6,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=327,official_source_rights_review_required_for_external_bulk_redistribution
M211203,211203,Meteorologist (Numerical Weather Prediction Modelling),en-MY,MASCO 2020,retained,high,211211,"Meteorologist, Numerical Weather Prediction Modeling",ESCO 1.2.1,1,6,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=327,official_source_rights_review_required_for_external_bulk_redistribution
M211204,211204,Meteorological Officer Grade C9,en-MY,MASCO 2020,retained,high,211201,Meteorological Officer Grade C41,ESCO 1.2.1,1,6,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=327,official_source_rights_review_required_for_external_bulk_redistribution
M211301,211301,Chemist,en-MY,MASCO 2020,retained,high,211302,Chemist,ESCO 1.2.1; O*NET 31.0; NOC 2021 Version 1.0; OSCA 2024 Version 1.0,4,14,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=327,official_source_rights_review_required_for_external_bulk_redistribution
M211401,211401,Geologist,en-MY,MASCO 2020,retained,high,211402,Geologist,ESCO 1.2.1; OSCA 2024 Version 1.0,2,10,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=328,official_source_rights_review_required_for_external_bulk_redistribution
M211402,211402,Hydrologist,en-MY,MASCO 2020,retained,high,211424,Hydrologist,ESCO 1.2.1; O*NET 31.0; OSCA 2024 Version 1.0,3,14,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=328,official_source_rights_review_required_for_external_bulk_redistribution
M211403,211403,Geoscientist,en-MY,MASCO 2020,retained,high,211432,Geoscientist,ESCO 1.2.1,1,6,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=328,official_source_rights_review_required_for_external_bulk_redistribution
M212101,212101,Mathematician,en-MY,MASCO 2020,retained,high,212102,Mathematician,ESCO 1.2.1; O*NET 31.0; OSCA 2024 Version 1.0,3,14,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=329,official_source_rights_review_required_for_external_bulk_redistribution
M212102,212102,Statistician,en-MY,MASCO 2020,retained,medium,212106,"Statistician, Applied Statistics",ESCO 1.2.1; O*NET 31.0; OSCA 2024 Version 1.0,3,14,12,8,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=329,official_source_rights_review_required_for_external_bulk_redistribution
M212103,212103,Actuary,en-MY,MASCO 2020,retained,medium,212112,Pricing Actuarie,ESCO 1.2.1; O*NET 31.0; OSCA 2024 Version 1.0,3,14,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=329,official_source_rights_review_required_for_external_bulk_redistribution
M212104,212104,Metrologist,en-MY,MASCO 2020,retained,high,212115,Metrologist,ESCO 1.2.1,1,6,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=329,official_source_rights_review_required_for_external_bulk_redistribution
M212105,212105,Statistician Grade E9,en-MY,MASCO 2020,retained,high,212101,Statistician Grade E41,ESCO 1.2.1,1,6,12,8,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=328,official_source_rights_review_required_for_external_bulk_redistribution
M213101,213101,Microbiologist,en-MY,MASCO 2020,retained,high,213103,Microbiologist,ESCO 1.2.1; O*NET 31.0; OSCA 2024 Version 1.0,3,14,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=329,official_source_rights_review_required_for_external_bulk_redistribution
M213102,213102,Serologist,en-MY,MASCO 2020,retained,high,213104,Serologist,ESCO 1.2.1,1,6,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=329,official_source_rights_review_required_for_external_bulk_redistribution
M213103,213103,Biologist,en-MY,MASCO 2020,retained,high,213108,Biologist,ESCO 1.2.1; O*NET 31.0,2,13,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=329,official_source_rights_review_required_for_external_bulk_redistribution
M213104,213104,Cytologist,en-MY,MASCO 2020,retained,high,213117,Cystologist,ESCO 1.2.1,1,6,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=329,official_source_rights_review_required_for_external_bulk_redistribution
M213105,213105,Botanist,en-MY,MASCO 2020,retained,high,213120,Botanist,ESCO 1.2.1; OSCA 2024 Version 1.0,2,10,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=329,official_source_rights_review_required_for_external_bulk_redistribution
M213106,213106,Ecologist,en-MY,MASCO 2020,retained,high,213151,Ecologist,ESCO 1.2.1; OSCA 2024 Version 1.0,2,10,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=330,official_source_rights_review_required_for_external_bulk_redistribution
M213107,213107,Wildlife Officer Grade G9,en-MY,MASCO 2020,retained,high,213101,Wildlife Officer Grade G41,ESCO 1.2.1,1,6,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=329,official_source_rights_review_required_for_external_bulk_redistribution
M213201,213201,Agricultural Officer,en-MY,MASCO 2020,retained,high,213205,Agricultural Officer,ESCO 1.2.1,1,6,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=330,official_source_rights_review_required_for_external_bulk_redistribution
M213202,213202,Farm Demonstrator,en-MY,MASCO 2020,retained,high,213209,Farm Demonstrator,ESCO 1.2.1,1,6,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=330,official_source_rights_review_required_for_external_bulk_redistribution
M213203,213203,Forestry Officer,en-MY,MASCO 2020,retained,high,213210,Forestry Officer,ESCO 1.2.1,1,6,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=330,official_source_rights_review_required_for_external_bulk_redistribution
M213204,213204,Aquaculture Executive,en-MY,MASCO 2020,retained,high,213214,Aquaculture Executive,ESCO 1.2.1,1,6,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=330,official_source_rights_review_required_for_external_bulk_redistribution
M213206,213206,Conservator of Forests Grade G9,en-MY,MASCO 2020,retained,high,213202,Conservator of Forests Grade G41,ESCO 1.2.1,1,6,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=330,official_source_rights_review_required_for_external_bulk_redistribution
M213207,213207,Agricultural Officer Grade G9,en-MY,MASCO 2020,retained,high,213203,Agricultural Officer Grade G41,ESCO 1.2.1,1,6,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=330,official_source_rights_review_required_for_external_bulk_redistribution
M213208,213208,Land Planning Officer Grade G9,en-MY,MASCO 2020,retained,high,213204,Land Planning Officer Grade G41,ESCO 1.2.1,1,6,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=330,official_source_rights_review_required_for_external_bulk_redistribution
M213301,213301,Agronomist,en-MY,MASCO 2020,retained,high,213302,Agronomist,ESCO 1.2.1; OSCA 2024 Version 1.0,2,10,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=330,official_source_rights_review_required_for_external_bulk_redistribution
M213302,213302,Agricultural Scientist,en-MY,MASCO 2020,retained,high,213304,Agricultural Scientist,ESCO 1.2.1; OSCA 2024 Version 1.0,2,10,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=330,official_source_rights_review_required_for_external_bulk_redistribution
M213303,213303,Floriculturist,en-MY,MASCO 2020,retained,high,213305,Floriculturist,ESCO 1.2.1,1,6,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=330,official_source_rights_review_required_for_external_bulk_redistribution
M213304,213304,Horticulturist/Arborist,en-MY,MASCO 2020,retained,medium,213306,Horticulturist,ESCO 1.2.1,1,6,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=330,official_source_rights_review_required_for_external_bulk_redistribution
M213305,213305,Wood Analyst,en-MY,MASCO 2020,retained,high,213315,Wood Analyst,ESCO 1.2.1,1,6,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=331,official_source_rights_review_required_for_external_bulk_redistribution
M213306,213306,Animal Scientist,en-MY,MASCO 2020,retained,high,213316,Animal Scientist,ESCO 1.2.1; O*NET 31.0,2,13,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=331,official_source_rights_review_required_for_external_bulk_redistribution
M213307,213307,Environmental Research Scientist,en-MY,MASCO 2020,retained,high,213317,Environmental Research Scientist,ESCO 1.2.1; OSCA 2024 Version 1.0,2,10,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=331,official_source_rights_review_required_for_external_bulk_redistribution
M213308,213308,Conservation Officer,en-MY,MASCO 2020,retained,high,213318,Conservation Officer,ESCO 1.2.1; NOC 2021 Version 1.0; OSCA 2024 Version 1.0,3,14,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=331,official_source_rights_review_required_for_external_bulk_redistribution
