role_id,masco_code,role_title,expected_questions,actual_questions,expected_global_matches_minimum,actual_global_matches,actual_global_anchors,linked_open_qa_records,qa_status
M217302,217302,Flight Instructor,12,12,1,2,10,0,PASS
M217303,217303,Aircraft Design Engineer,12,12,1,1,6,0,PASS
M217304,217304,Aeronautical Engineer,12,12,1,1,6,0,PASS
M217306,217306,Marine Aviation Officer,12,12,1,1,6,0,PASS
M217308,217308,Pilot/Pilot Inspector Grade AT9,12,12,1,1,6,0,PASS
M217309,217309,Aircraft Examiner Grade AT9,12,12,1,1,6,0,PASS
M217310,217310,Pilot/Pilot Examiner Grade AT10,12,12,1,1,6,0,PASS
M217311,217311,Pilot/Pilot Examiner Grade AT12,12,12,1,1,6,0,PASS
M217312,217312,Pilot/Pilot Examiner Grade AT13,12,12,1,1,6,0,PASS
M217313,217313,Pilot/Pilot Examiner Grade AT14 (Flight Operation Director),12,12,1,1,6,0,PASS
M217401,217401,Air Traffic Controller,12,12,1,4,14,0,PASS
M217402,217402,Operation Centre Controller,12,12,1,1,6,0,PASS
M217404,217404,Air Traffic Control Officer Grade A9,12,12,1,1,6,0,PASS
M217501,217501,Railway and Locomotive Operation Officer,12,12,1,1,6,0,PASS
M218101,218101,Mining Executive,12,12,1,1,6,0,PASS
M218201,218201,Manufacturing Executive,12,12,1,1,6,0,PASS
M218202,218202,Quality Assurance Executive,12,12,1,2,10,0,PASS
M218203,218203,Store Executive,12,12,1,1,6,0,PASS
M218204,218204,Competent Person (CP) - Boilerman,12,12,1,1,6,0,PASS
M218205,218205,Technical Service Adviser,12,12,1,2,10,0,PASS
M218206,218206,Material Specialist,12,12,1,1,6,0,PASS
M218207,218207,Product Development Executive,12,12,1,1,6,0,PASS
M218301,218301,Construction Executive,12,12,1,1,6,0,PASS
M221101,221101,Medical Doctor,12,12,1,1,6,0,PASS
M221102,221102,Medical Doctor (Gynaecology),12,12,1,1,6,0,PASS
M221103,221103,Medical Doctor (Cardiology),12,12,1,1,6,0,PASS
M221104,221104,Medical Doctor (Obstetrics),12,12,1,1,6,0,PASS
M221105,221105,Medical Doctor (Ophthalmology),12,12,1,1,6,0,PASS
M221106,221106,Medical Doctor (Psychiatry),12,12,1,1,6,0,PASS
M221107,221107,Medical Doctor (Radiology),12,12,1,1,6,0,PASS
M221108,221108,Medical Doctor (Skin),12,12,1,1,6,0,PASS
M221111,221111,"Medical Officer Grade UD9, UD10",12,12,1,1,6,0,PASS
M221201,221201,"Ear, Nose and Throat Specialist",12,12,1,1,6,0,PASS
M221202,221202,Anaesthetist,12,12,1,2,10,0,PASS
M221203,221203,Medical Oncologist,12,12,1,2,10,0,PASS
M221204,221204,Psychiatrist,12,12,1,3,14,0,PASS
M221205,221205,Ophthalmologist,12,12,1,2,10,0,PASS
M221206,221206,Cardiologist,12,12,1,3,14,0,PASS
M221207,221207,Neurologist,12,12,1,3,14,0,PASS
M221208,221208,Obstetrician and Gynaecologist,12,12,1,2,10,0,PASS
M221209,221209,Surgeon,12,12,1,1,6,0,PASS
M221210,221210,Dermatologist,12,12,1,3,14,0,PASS
M221211,221211,Orthopaedist,12,12,1,1,6,0,PASS
M221212,221212,Paediatrician,12,12,1,2,10,0,PASS
M221213,221213,Physician,12,12,1,1,6,0,PASS
M221214,221214,Radiologist,12,12,1,3,14,0,PASS
M221215,221215,Urologist,12,12,1,3,14,0,PASS
M221216,221216,Venereologist,12,12,1,1,6,0,PASS
M221217,221217,Occupational Therapist,12,12,1,4,14,0,PASS
M222101,222101,Professional Nurse,12,12,1,1,6,0,PASS
M222102,222102,Specialist Nurse,12,12,1,2,13,0,PASS
M222103,222103,Nurse Instructor,12,12,1,1,6,0,PASS
M222104,222104,Nurse Grade U9,12,12,1,1,6,0,PASS
M222201,222201,Professional Midwife,12,12,1,1,6,0,PASS
M224101,224101,Paramedic,12,12,1,3,14,0,PASS
M225101,225101,Veterinarian,12,12,1,4,14,0,PASS
M225102,225102,Veterinary Officer Grade GV9,12,12,1,1,6,0,PASS
M226101,226101,Dentist,12,12,1,3,14,0,PASS
M226102,226102,Dental Officer Grade UG9,12,12,1,1,6,0,PASS
M226201,226201,Pharmacist,12,12,1,3,14,0,PASS
M226202,226202,Pharmacist Grade UF9,12,12,1,1,6,0,PASS
M226203,226203,Pharmacist Grade UF10,12,12,1,1,6,0,PASS
