"role_id","masco_code","role_title","candidate_rank","candidate_esco_code","candidate_esco_title","candidate_esco_uri","retrieval_score","title_cosine","profile_cosine","matched_esco_label","exact_normalized_label","same_four_digit_group","selected_primary","query_masco_version","score_is_probability"
"M363204","363204","Poster Designer","2","2163.1.3","Fashion Designer","http://data.europa.eu/esco/occupation/77bfd6e7-5598-4818-84cb-31e2651eb046","0.635959","0.655005","0.433381","Sportswear Designer","false","false","false","2020","false"
"M363204","363204","Poster Designer","3","2654.1.5","Production Designer","http://data.europa.eu/esco/occupation/4d4b243f-6c3b-48c3-a564-2e7f2d592a3c","0.630396","0.661914","0.471347","Production Designer","false","false","false","2020","false"
"M363204","363204","Poster Designer","4","2163.1","Industrial Designer","http://data.europa.eu/esco/occupation/ab7bccb2-6f81-4a3d-a0c0-fca5d47d2775","0.61625","0.634995","0.43687","Product Designer","false","false","false","2020","false"
"M363204","363204","Poster Designer","5","2166.9","Graphic Designer","http://data.europa.eu/esco/occupation/69bcbb0a-8d80-4ecd-b0a4-9adea2a40de2","0.605852","0.618302","0.49037","Commercial Designer","false","false","true","2020","false"
"M363204","363204","Poster Designer","6","2163.1.3.1","Clothing Fashion Designer","http://data.europa.eu/esco/occupation/d1a554d0-7ad6-4d42-897e-ed31d022fb0b","0.587008","0.596275","0.464889","Clothes Designer","false","false","false","2020","false"
"M363204","363204","Poster Designer","7","7316.1","Decorative Painter","http://data.europa.eu/esco/occupation/41a51397-089d-459d-9b7e-f1cdee5ad6bb","0.581364","0.584804","0.506209","Pottery Painter","false","false","false","2020","false"
"M363204","363204","Poster Designer","8","2163.1.3.2","Footwear Designer","http://data.europa.eu/esco/occupation/06f89f2c-c6e9-40c5-a4a5-0e34d5fbc184","0.564981","0.532563","0.484699","Footwear Designer","false","false","false","2020","false"
"M363204","363204","Poster Designer","9","2163.1.8","Textile Designer","http://data.europa.eu/esco/occupation/0f7c84c5-1c0d-4fc1-8949-07dbe8bd34ef","0.562217","0.564273","0.408236","Print Designer","false","false","false","2020","false"
"M363204","363204","Poster Designer","10","2163.1.4","Furniture Designer","http://data.europa.eu/esco/occupation/bc4d1659-6860-488e-bc13-e87eb0e36f67","0.561592","0.573934","0.406958","FF&E Designer","false","false","false","2020","false"
"M363221","363221","Carve Technician","1","7231.10","Vehicle Technician","http://data.europa.eu/esco/occupation/4ad4024e-d1d3-4dea-b6d1-2c7948111dce","0.690018","0.699392","0.527066","PCV Technician","false","false","false","2020","false"
"M363221","363221","Carve Technician","2","2165.1","Cadastral Technician","http://data.europa.eu/esco/occupation/2561879a-dd0a-454e-ae6e-9be6c488eb56","0.656214","0.634217","0.63653","Cadastral Technician","false","false","false","2020","false"
"M363221","363221","Carve Technician","3","3115.1.4","Automotive Engineering Technician","http://data.europa.eu/esco/occupation/444c9aa9-578d-4a9a-9949-99ef1bacb20e","0.64104","0.657542","0.532474","Car Engineering Technician","false","false","false","2020","false"
"M363221","363221","Carve Technician","4","7231.5","Vehicle Restoration Technician","http://data.europa.eu/esco/occupation/158965f1-bd83-441c-bca8-1975b74dedc5","0.628785","0.630892","0.557811","Car Restoration Technician","false","false","false","2020","false"
"M363221","363221","Carve Technician","5","3119.5","Food Technician","http://data.europa.eu/esco/occupation/afee6a28-f654-4ac7-a665-f758616bc689","0.616745","0.636627","0.482431","Food Technician","false","false","false","2020","false"
"M363221","363221","Carve Technician","6","8171.8","Pulp Technician","http://data.europa.eu/esco/occupation/bb131b09-5fdf-4f4f-a76c-402c69cd090a","0.605225","0.608483","0.516294","Pulp Technician","false","false","false","2020","false"
"M363221","363221","Carve Technician","7","7231.6","Roadside Vehicle Technician","http://data.europa.eu/esco/occupation/c0749528-ee2a-41bd-a1f6-c13825b5e569","0.60107","0.588212","0.478278","Car Recovery Technician","false","false","false","2020","false"
"M363221","363221","Carve Technician","8","2261.4","Dental Technician","http://data.europa.eu/esco/occupation/76bded28-876a-40b2-9efb-3123c8f14cf6","0.597138","0.571593","0.582559","Dental Technician","false","false","false","2020","false"
"M363221","363221","Carve Technician","9","7231.1","Automotive Brake Technician","http://data.europa.eu/esco/occupation/b8db7ef4-4057-4e88-8e2a-105b4b59fb67","0.594046","0.568403","0.497921","Car Brake Technician","false","false","false","2020","false"
"M363221","363221","Carve Technician","10","7412.1","Automotive Battery Technician","http://data.europa.eu/esco/occupation/06bd6285-13ed-4ea7-90cc-e9638a0600a9","0.582841","0.579119","0.439962","Car Battery Technician","false","false","false","2020","false"
"M363221","363221","Carve Technician","11","7317.6","Woodcarver","http://data.europa.eu/esco/occupation/b9d03330-c71c-4827-8797-3e96249d54db","0.393323","0.345819","0.451395","Artisan","false","false","true","2020","false"
"M363304","363304","Gallery Technician","1","3433.1","Art Handler","http://data.europa.eu/esco/occupation/6040c941-ab83-44b2-84e7-5cbfa1eafcdc","0.985","0.481342","0.657738","Gallery Technician","true","false","true","2020","false"
"M363304","363304","Gallery Technician","2","3435.25.3","Scenery Technician","http://data.europa.eu/esco/occupation/5a0ff408-e1df-424b-a2d6-4b475a516f2a","0.664353","0.667027","0.570594","Scenery Technician","false","false","false","2020","false"
"M363304","363304","Gallery Technician","3","3435.25","Theatre Technician","http://data.europa.eu/esco/occupation/f09b6100-28a6-4be5-9726-ecf5b24f74f6","0.646089","0.643251","0.556548","Theater Technician","false","false","false","2020","false"
"M363304","363304","Gallery Technician","4","3521.1.11","Video Technician","http://data.europa.eu/esco/occupation/a59feab2-9bc9-4b25-97cf-995998164502","0.641614","0.644608","0.532446","AV Technician","false","false","false","2020","false"
"M363304","363304","Gallery Technician","5","1349.8","Commercial Art Gallery Manager","http://data.europa.eu/esco/occupation/2c8a4b72-21f4-4ab1-9dbd-1cae779211b7","0.641097","0.693294","0.497735","Gallery Manager","false","false","false","2020","false"
"M363304","363304","Gallery Technician","6","7322.8","Reprographics Technician","http://data.europa.eu/esco/occupation/77de6c7d-27bf-4bc2-8c80-5d6f6d9811f4","0.634546","0.613869","0.610089","Mailroom Technician","false","false","false","2020","false"
"M363304","363304","Gallery Technician","7","3254.1.1","Optical Technician","http://data.europa.eu/esco/occupation/1084e2d6-b153-4090-8065-c9231f71d4f0","0.613207","0.632694","0.418867","Lens Technician","false","false","false","2020","false"
"M363304","363304","Gallery Technician","8","2654.6","Art Administrator","http://data.europa.eu/esco/occupation/0bce6d52-a45e-4826-91ea-68976f1b9d1c","0.586783","0.612372","0.543706","Gallery Project Coordinator","false","false","false","2020","false"
"M363304","363304","Gallery Technician","9","3111.9","Metrology Technician","http://data.europa.eu/esco/occupation/e6a3ce2e-c0f2-47a7-937a-61ae9abfe1fa","0.585866","0.583505","0.45941","Meter Technician","false","false","false","2020","false"
"M363304","363304","Gallery Technician","10","8132.2","Photographic Developer","http://data.europa.eu/esco/occupation/7180a7be-68cd-4636-8c12-706722ad8862","0.583343","0.614521","0.431153","Photograph Lab Technician","false","false","false","2020","false"
"M363304","363304","Gallery Technician","11","2621.3","Conservator","http://data.europa.eu/esco/occupation/7556c748-15b4-4e44-97d9-00d885d4cd7d","0.33203","0.288931","0.529636","Building Conservation Officer","false","false","false","2020","false"
"M363305","363305","Library Technician","1","4411.1","Library Assistant","http://data.europa.eu/esco/occupation/37b15470-3b2d-4ae0-816c-c7c06ed15c99","0.985","0.711111","0.614046","Library Technician","true","false","true","2020","false"
"M363305","363305","Library Technician","2","2622.2","Librarian","http://data.europa.eu/esco/occupation/60f7eb23-a7ea-4cbe-98a5-1248291f62d5","0.72021","0.732488","0.620461","Library Technical Assistant","false","false","false","2020","false"
