"role_id","skill_id","skill_name","skill_type","importance","masco_code","masco_version","esco_code","esco_occupation_title","esco_occupation_uri","skill_uri","relation_type","official_skill_type_raw","mapping_relation","mapping_confidence","mapping_review_status","source_version","production_ready"
"M112104","484df271-bb52-49f1-8f50-f19624bf4df2","Software Components Libraries","digital","50","112104","2020","1330.3","Chief Technology Officer","http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f","http://data.europa.eu/esco/skill/484df271-bb52-49f1-8f50-f19624bf4df2","optional","knowledge","close_match","medium","test_only_project_mapping_not_human_validated","ESCO v1.2.1","false"
"M112104","4b51e76e-9e8a-455f-a289-5b48246345c4","Hardware Components","digital","50","112104","2020","1330.3","Chief Technology Officer","http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f","http://data.europa.eu/esco/skill/4b51e76e-9e8a-455f-a289-5b48246345c4","optional","knowledge","close_match","medium","test_only_project_mapping_not_human_validated","ESCO v1.2.1","false"
"M112104","4b88b1ee-c2d9-473a-9fe8-ba3b9c0c179a","Implement ICT Coding Conventions","digital","100","112104","2020","1330.3","Chief Technology Officer","http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f","http://data.europa.eu/esco/skill/4b88b1ee-c2d9-473a-9fe8-ba3b9c0c179a","essential","skill/competence","close_match","medium","test_only_project_mapping_not_human_validated","ESCO v1.2.1","false"
"M112104","4c016b68-4116-468c-9dc6-42710c239e4a","C#","digital","50","112104","2020","1330.3","Chief Technology Officer","http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f","http://data.europa.eu/esco/skill/4c016b68-4116-468c-9dc6-42710c239e4a","optional","knowledge","close_match","medium","test_only_project_mapping_not_human_validated","ESCO v1.2.1","false"
"M112104","501537a7-9d63-491d-ae02-09f04767ff1e","Attack Vectors","digital","100","112104","2020","1330.3","Chief Technology Officer","http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f","http://data.europa.eu/esco/skill/501537a7-9d63-491d-ae02-09f04767ff1e","essential","knowledge","close_match","medium","test_only_project_mapping_not_human_validated","ESCO v1.2.1","false"
"M112104","5063a99f-975b-4a7c-85e3-69ecb375b4d3","Internet Governance","digital","50","112104","2020","1330.3","Chief Technology Officer","http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f","http://data.europa.eu/esco/skill/5063a99f-975b-4a7c-85e3-69ecb375b4d3","optional","knowledge","close_match","medium","test_only_project_mapping_not_human_validated","ESCO v1.2.1","false"
"M112104","51586df8-1c46-4b47-8583-773cb63bf00b","R","digital","50","112104","2020","1330.3","Chief Technology Officer","http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f","http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b","optional","knowledge","close_match","medium","test_only_project_mapping_not_human_validated","ESCO v1.2.1","false"
"M112104","52cf3037-ab53-4806-85ed-7fd21ea7f6a1","Groovy","digital","50","112104","2020","1330.3","Chief Technology Officer","http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f","http://data.europa.eu/esco/skill/52cf3037-ab53-4806-85ed-7fd21ea7f6a1","optional","knowledge","close_match","medium","test_only_project_mapping_not_human_validated","ESCO v1.2.1","false"
"M112104","553ad092-b799-44c9-a94c-65a84fdc7526","Identify Processes for Re-Engineering","technical","50","112104","2020","1330.3","Chief Technology Officer","http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f","http://data.europa.eu/esco/skill/553ad092-b799-44c9-a94c-65a84fdc7526","optional","skill/competence","close_match","medium","test_only_project_mapping_not_human_validated","ESCO v1.2.1","false"
"M112104","56a7f561-1d55-43c9-9cd7-36a0a9bc6c50","ASP.NET","digital","50","112104","2020","1330.3","Chief Technology Officer","http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f","http://data.europa.eu/esco/skill/56a7f561-1d55-43c9-9cd7-36a0a9bc6c50","optional","knowledge","close_match","medium","test_only_project_mapping_not_human_validated","ESCO v1.2.1","false"
