"role_id","masco_code","role_title","unit_group_code","unit_group_title","source_current_role_ids","source_current_title","remap_method","remap_confidence","esco_code","masco2020_source_url"
"M315301","315301","Train Technician","3153","Train/ Locomotive Technicians","M315301","Train Technician","exact_normalized_title","high","3115.1.18","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=377"
"M315306","315306","Track Network Technician","3153","Train/ Locomotive Technicians","M315302","Track Network Technician","exact_normalized_title","high","3112.1.10","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=377"
"M315307","315307","Signalling and Communication Technician","3153","Train/ Locomotive Technicians","M315303","Signalling and Communication Technician","exact_normalized_title","high","7421.6","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=377"
"M315406","315406","Motor Vehicle Technician","3154","Motor Vehicle Technicians","M315401","Motor Vehicle Technician","exact_normalized_title","high","7231.10","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=377"
"M315902","315902","Logistics Supervisor","3159","Transport Technicians Not Elsewhere Classified","M315901","Transport/Logistics Supervisor","reviewed_functional_equivalent","medium","1324.3","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=377"
"M315904","315904","Green Technology Infrastructure Assistant Facilitator","3159","Transport Technicians Not Elsewhere Classified","M315902","Green Technology Infrastructure Assistant Facilitator","exact_normalized_title","high","2133.15","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=377"
"M316101","316101","Nuclear Technician","3161","Nuclear Research And Development Associate Professionals","M316101","Nuclear Technician","exact_normalized_title","high","3111.10","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=377"
"M321101","321101","Radiographer Grade U29","3211","Medical Imaging And Therapeutic Equipment Technicians","M321102","Radiographer Grade U5","grade_reversion","high","2269.8","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=377"
"M321102","321102","Radiographer","3211","Medical Imaging And Therapeutic Equipment Technicians","M321101","Radiographer","exact_normalized_title","high","2269.8","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=377"
"M321204","321204","Ecology Technician","3212","Medical And Pathology Laboratory Technicians","M321201","Ecology Technician","exact_normalized_title","high","2133.15","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=377"
"M321207","321207","Histology Technician","3212","Medical And Pathology Laboratory Technicians","M321202","Histology Technician","exact_normalized_title","high","2269.12","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=377"
"M321208","321208","Cytology Technician","3212","Medical And Pathology Laboratory Technicians","M321203","Cytology Technician","exact_normalized_title","high","2269.13.1","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=377"
"M321209","321209","Physiology Technician","3212","Medical And Pathology Laboratory Technicians","M321204","Physiology Technician","exact_normalized_title","high","2269.13","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=377"
"M321212","321212","Parasitological Assistant","3212","Medical And Pathology Laboratory Technicians","M321205","Parasitological Assistant","exact_normalized_title","high","3212.2","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=377"
"M321213","321213","Medical Laboratory Technician","3212","Medical And Pathology Laboratory Technicians","M321206","Medical Laboratory Technician","exact_normalized_title","high","2269.13","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=377"
"M321214","321214","Surgical Technician","3212","Medical And Pathology Laboratory Technicians","M321207","Surgical Technician","exact_normalized_title","high","3259.1","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=377"
"M321301","321301","Pharmaceutical Assistant","3213","Pharmaceutical Technicians And Assistants","M321301","Pharmaceutical Assistant","exact_normalized_title","high","3213.1","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=377"
"M321304","321304","Pharmacy Aide","3213","Pharmaceutical Technicians And Assistants","M321302","Pharmacy Aide","exact_normalized_title","high","3213.1","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=378"
"M321305","321305","Assistant Pharmacy Officer Grade U29","3213","Pharmaceutical Technicians And Assistants","M321303","Assistant Pharmacy Officer Grade U5","grade_reversion","high","3213.1","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=378"
"M321401","321401","Dental technician","3214","Medical And Dental Prosthetic Technicians","M321401","Dental Technician","exact_normalized_title","high","2261.4","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=378"
"M321404","321404","Orthotist","3214","Medical And Dental Prosthetic Technicians","M321402","Orthotist","exact_normalized_title","high","3214.3","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=378"
"M321502","321502","Prosthetic Technician","3215","Orthotic And Prosthetic Technicians","M321501","Prosthetic Technician","exact_normalized_title","high","2269.15","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=378"
"M321503","321503","Medical Technician Grade U19","3215","Orthotic And Prosthetic Technicians","M321502","Medical Technician Grade U1","grade_reversion","high","3114.1.5","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=378"
"M322101","322101","Nurse Grade U29","3221","Nursing Associate Professionals (Except Dental)","M322102","Nurse Grade U5","grade_reversion","high","2221.2","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=378"
"M322104","322104","Practical Nurse","3221","Nursing Associate Professionals (Except Dental)","M322101","Practical Nurse","exact_normalized_title","high","2221.2","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=378"
"M324103","324103","Veterinary Biotech Research Technician","3241","Veterinary Technicians And Assistants","M324101","Veterinary Biotech Research Technician","exact_normalized_title","high","3141.1","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=378"
"M324107","324107","Veterinary Artificial Inseminator","3241","Veterinary Technicians And Assistants","M324102","Veterinary Artificial Inseminator","exact_normalized_title","high","3240.2.1","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=378"
"M324108","324108","Veterinary Biotech Production Technician","3241","Veterinary Technicians And Assistants","M324103","Veterinary Biotech Production Technician","exact_normalized_title","high","3141.1","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=378"
"M324109","324109","Veterinary Nurse","3241","Veterinary Technicians And Assistants","M324104","Veterinary Nurse","exact_normalized_title","high","3240.2.4","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=378"
"M324110","324110","Assistant Veterinary Officer Grade G29","3241","Veterinary Technicians And Assistants","M324107","Assistant Veterinary Officer Grade G5","grade_reversion","high","3240.2","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=378"
"M325101","325101","Dental Surgery Assistant Grade U19","3251","Dental Assistants And Therapists","M325103","Dental Surgery Assistant Grade U1","grade_reversion","high","3251.1","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=378"
"M325105","325105","Dental Assistant","3251","Dental Assistants And Therapists","M325101","Dental Aide/Assistant","reviewed_functional_equivalent","medium","3251.1","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=378"
"M325106","325106","Dental Hygienist","3251","Dental Assistants And Therapists","M325102","Dental Hygienist","exact_normalized_title","high","2261.3","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=378"
"M325107","325107","Dental Therapist Grade U29","3251","Dental Assistants And Therapists","M325104","Dental Therapist Grade U5","grade_reversion","high","2261.3","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=379"
"M325302","325302","Community Health Promoter","3253","Community Health Workers","M325301","Community Health Promoter","exact_normalized_title","high","3253.1","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=379"
"M325304","325304","Village Health Worker","3253","Community Health Workers","M325302","Village Health Worker","exact_normalized_title","high","3253.1","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=379"
"M325305","325305","Community Nurse Grade U19","3253","Community Health Workers","M325303","Community Nurse Grade U1","grade_reversion","high","3253.1","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=379"
"M325505","325505","Massage Therapist","3255","Physiotherapy Technicians And Assistants","M325501","Massage Therapist","exact_normalized_title","high","3255.1","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=379"
"M325506","325506","Physiotherapy Technician","3255","Physiotherapy Technicians And Assistants","M325502","Physiotherapy Technician","exact_normalized_title","high","3255.2","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=379"
"M325601","325601","Medical Laboratory Assistant","3256","Medical Assistants","M325601","Medical Laboratory Assistant","exact_normalized_title","high","3212.2","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=379"
"M325602","325602","Hospital Assistant","3256","Medical Assistants","M325602","Hospital Assistant","exact_normalized_title","high","5321.1","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=379"
"M325606","325606","Radiographist Equipment, Medical, General","3256","Medical Assistants","M325603","Diagnostic Imaging Equipment Technician","reviewed_functional_equivalent","medium","3114.1.5","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=379"
"M325611","325611","Sonographer","3256","Medical Assistants","M325604","Sonographer","exact_normalized_title","high","2269.8.1","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=379"
"M325613","325613","Clinical Instructor","3256","Medical Assistants","M325605","Clinical Instructor","exact_normalized_title","high","2310.1.28","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=379"
"M325614","325614","Ophthalmic Assistant","3256","Medical Assistants","M325606","Ophthalmic Assistant","exact_normalized_title","high","3256.1","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=379"
"M325615","325615","Assistant Medical Officer Grade U29","3256","Medical Assistants","M325607","Assistant Medical Officer Grade U5","grade_reversion","high","3258.2","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=379"
"M325703","325703","Public Health Unit Inspector","3257","Environmental And Occupational Health Inspectors And Associates","M325701","Public Health Unit Inspector","exact_normalized_title","high","3257.1","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=379"
"M325705","325705","Occupational Safety and Health Inspector","3257","Environmental And Occupational Health Inspectors And Associates","M325702","Occupational Safety and Health Inspector","exact_normalized_title","high","3257.5","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=379"
"M325712","325712","Product Quality Inspector","3257","Environmental And Occupational Health Inspectors And Associates","M325703","Product Quality Inspector","exact_normalized_title","high","7543.10","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=380"
"M325735","325735","Water Inspector","3257","Environmental And Occupational Health Inspectors And Associates","M325704","Water Inspector","exact_normalized_title","high","2133.13","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=380"
"M325736","325736","Mine Safety Inspector","3257","Environmental And Occupational Health Inspectors And Associates","M325705","Mine Safety Inspector","exact_normalized_title","high","3117.4","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=380"
"M325737","325737","Mine Examiner","3257","Environmental And Occupational Health Inspectors And Associates","M325706","Mine Examiner","exact_normalized_title","high","3117.4","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=380"
"M325747","325747","Assistant Food Technology Officer Grade C29","3257","Environmental And Occupational Health Inspectors And Associates","M325707","Assistant Food Technology Officer Grade C5","grade_reversion","high","3119.5","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=380"
"M325748","325748","Assistant Environmental Health Officer Grade U29","3257","Environmental And Occupational Health Inspectors And Associates","M325708","Assistant Environmental Health Officer Grade U5","grade_reversion","high","3257.1","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=380"
"M325749","325749","Assistant Environmental Control Officer Grade C29","3257","Environmental And Occupational Health Inspectors And Associates","M325709","Assistant Environmental Control Officer Grade C5","grade_reversion","high","2133.15","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=380"
"M325802","325802","Ambulance Officer","3258","Ambulance Assistants","M325801","Ambulance Officer","exact_normalized_title","high","3258.2","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=380"
"M325805","325805","Emergency Paramedic","3258","Ambulance Assistants","M325802","Emergency Paramedic","exact_normalized_title","high","3258.2","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=380"
"M331401","331401","Assistant Statistics Officer Grade E29","3314","Statistical, Mathematical And Actuarial Associate Professionals","M331401","Assistant Statistics Officer Grade E5","grade_reversion","high","3314.2","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=381"
"M351101","351101","Computer Technician Grade FT19","3511","Information And Communications Technology Operation Technicians","M351107","Computer Technician Grade FT1","grade_reversion","high","7422.2","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=384"
"M351105","351105","Computer Technician","3511","Information And Communications Technology Operation Technicians","M351101","Computer Technician","exact_normalized_title","high","7422.2","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=384"
"M351109","351109","Electronic Data Processing Technician","3511","Information And Communications Technology Operation Technicians","M351102","Electronic Data Processing Technician","exact_normalized_title","high","3511.1","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=384"
"M351113","351113","Semi-Conductor Technician","3511","Information And Communications Technology Operation Technicians","M311404","Semi-Conductor Technician","exact_normalized_title","high","3114.1.6","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=385"
"M351115","351115","Information Technology Assistant","3511","Information And Communications Technology Operation Technicians","M351103","Information Technology Assistant","exact_normalized_title","high","3512.4","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=385"
"M351116","351116","Computer Console Operator","3511","Information And Communications Technology Operation Technicians","M351104","Computer Console Operator","exact_normalized_title","high","3511.1","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=385"
"M351123","351123","Engineering Assistant, Telecommunications","3511","Information And Communications Technology Operation Technicians","M351105","Engineering Assistant (Telecommunications)","exact_normalized_title","high","3522.1","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=385"
"M351124","351124","Supervisor, Management Information Systems","3511","Information And Communications Technology Operation Technicians","M351106","Management Information Systems Supervisor","title_variant","high","2522.1","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=385"
"M351125","351125","Assistant Information Technology Officer Grade FA29","3511","Information And Communications Technology Operation Technicians","M351108","Assistant Information Technology Officer Grade FA5","grade_reversion","high","3512.4","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=385"
"M351201","351201","Computer Help Desk Technician","3512","Information And Communications Technology User Support Technicians","M351201","Computer Help Desk Technician","exact_normalized_title","high","3512.1","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=385"
"M351203","351203","Information Technology Technician","3512","Information And Communications Technology User Support Technicians","M351202","Information Technology Technician","exact_normalized_title","high","3512.4","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=385"
"M351206","351206","Computer Assistant","3512","Information And Communications Technology User Support Technicians","M351203","Computer Assistant","exact_normalized_title","high","3512.4","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=385"
"M351207","351207","Communications Assistant (ICT)","3512","Information And Communications Technology User Support Technicians","M351204","Communications Assistant (ICT)","exact_normalized_title","high","3513.2","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=385"
"M351208","351208","Database Assistant","3512","Information And Communications Technology User Support Technicians","M351205","Database Assistant","exact_normalized_title","high","2521.1","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=385"
"M351209","351209","Computer Programming Assistant","3512","Information And Communications Technology User Support Technicians","M351206","Computer Programming Assistant","exact_normalized_title","high","2514.2","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=385"
"M351212","351212","Call Centre Trainer","3512","Information And Communications Technology User Support Technicians","M351207","Call Centre Trainer","exact_normalized_title","high","2424.2","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=385"
"M351213","351213","Data Centre Supervisor","3512","Information And Communications Technology User Support Technicians","M351208","Data Centre Supervisor","exact_normalized_title","high","3511.1","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=385"
"M351215","351215","Technical Support Technician","3512","Information And Communications Technology User Support Technicians","M351209","Technical Support Technician","exact_normalized_title","high","3512.4","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=385"
"M351301","351301","Computer Network Technician","3513","Computer Network And Systems Technicians","M351301","Computer Network Technician","exact_normalized_title","high","3513.2","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=385"
"M351303","351303","Network Security Technician (ICT)","3513","Computer Network And Systems Technicians","M351302","Network Security Technician (ICT)","exact_normalized_title","high","3512.3","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=385"
"M351402","351402","Web Technician","3514","Web Technicians","M351401","Web Technician","exact_normalized_title","high","3514.1","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=385"
"M352101","352101","Audio-Visual Technician Grade N19","3521","Broadcasting And Audio-Visual Technicians","M352111","Audio-Visual Technician Grade N1, N2, N3, N4","grade_reversion","high","3521.1","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=385"
"M352102","352102","Cinematographer","3521","Broadcasting And Audio-Visual Technicians","M352101","Cinematographer","exact_normalized_title","high","2654.1.3","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=385"
"M352105","352105","Motion Picture Assistant","3521","Broadcasting And Audio-Visual Technicians","M352102","Motion Picture Assistant","exact_normalized_title","high","3435.2","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=386"
"M352108","352108","Sound Mixer","3521","Broadcasting And Audio-Visual Technicians","M352103","Sound Mixer","exact_normalized_title","high","3521.1.10","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=386"
"M352111","352111","Ships Radio Officer","3521","Broadcasting And Audio-Visual Technicians","M352104","Ships Radio Officer","exact_normalized_title","high","3152.1","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=386"
"M352112","352112","Broadcast Technician","3521","Broadcasting And Audio-Visual Technicians","M352105","Broadcast Technician","exact_normalized_title","high","3521.2","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=386"
"M352116","352116","Land-Base Radio Equipment Technician","3521","Broadcasting And Audio-Visual Technicians","M352106","Land-Base Radio Equipment Technician","exact_normalized_title","high","7422.4","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=386"
"M352117","352117","Flight Radio Equipment Technician","3521","Broadcasting And Audio-Visual Technicians","M352107","Flight Radio Equipment Technician","exact_normalized_title","high","7421.2","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=386"
"M352123","352123","Videographer","3521","Broadcasting And Audio-Visual Technicians","M352108","Videographer","exact_normalized_title","high","3521.1.2","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=386"
"M352124","352124","Assistant Telecommunications Engineer","3521","Broadcasting And Audio-Visual Technicians","M352109","Assistant Telecommunications Engineer","exact_normalized_title","high","3522.1","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=386"
"M352204","352204","Telecommunications Technician","3522","Telecommunications Engineering Technicians","M352201","Telecommunications Technician","exact_normalized_title","high","7422.7","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=386"
"M363201","363201","Designer Grade B19","3632","Interior Designers And Decorators","M363209","Designer Grade B1","grade_reversion","high","2166.9","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=388"
"M363202","363202","Interior Designer","3632","Interior Designers And Decorators","M363201","Interior Designer","exact_normalized_title","high","3432.1","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=388"
"M363204","363204","Poster Designer","3632","Interior Designers And Decorators","M216602","Poster Designer","exact_normalized_title","high","2166.9","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=388"
"M363221","363221","Carve Technician","3632","Interior Designers And Decorators","M363206","Carve Technician","exact_normalized_title","high","7317.6","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=388"
"M363304","363304","Gallery Technician","3633","Gallery , Museum And Library Associate Professionals","M363301","Gallery/Museum Technician","combined_title_split","medium","2621.3","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=389"
"M363305","363305","Library Technician","3633","Gallery , Museum And Library Associate Professionals","M363302","Library Technician","exact_normalized_title","high","4411.1","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=389"
"M363306","363306","Museum Technician","3633","Gallery , Museum And Library Associate Professionals","M363301","Gallery/Museum Technician","combined_title_split","medium","2621.3","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=389"
"M363414","363414","Stage Technician","3634","Artistic And Cultural Associate Professionals","M363401","Stage/Broadcast Production Technician","reviewed_functional_equivalent","medium","3435.25.5","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=389"
"M411126","411126","Economic Affairs Assistant Grade E19","4111","General Office Clerks","M411106","Economic Affairs Assistant Grade E1","grade_reversion","high","3343.1","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=391"
"M413209","413209","Data Entry Clerk","4132","Data Entry Clerks","M413202","Data Entry Clerk","exact_normalized_title","high","4132.1","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=392"
"M422602","422602","Survey Interviewer","4226","Survey And Market Research Interviewers","M422601","Enumerator/Survey Interviewer","reviewed_functional_equivalent","medium","4227.2","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=393"
"M431112","431112","Auction Clerk","4311","Accounting And Book-Keeping Clerks","M431101","Auction Clerk","exact_normalized_title","high","3339.2","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=394"
"M431114","431114","Audit Clerk","4311","Accounting And Book-Keeping Clerks","M431102","Audit Clerk","exact_normalized_title","high","4312.1","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=394"
"M431115","431115","Credit Control Clerk","4311","Accounting And Book-Keeping Clerks","M431103","Credit Control Clerk","exact_normalized_title","high","4214.1","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=394"
"M431118","431118","Billing Clerk","4311","Accounting And Book-Keeping Clerks","M431104","Billing Clerk","exact_normalized_title","high","4311.1","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=394"
"M431119","431119","Property Clerk","4311","Accounting And Book-Keeping Clerks","M431105","Property Clerk","exact_normalized_title","high","4312.6","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=394"
