"role_id","role_title","masco_code","masco_source_page_pdf","rated_task_count","remote_capable_tasks","remote_onsite_tasks","remote_unclear_tasks","remote_pre_rating","ai_exposable_tasks","ai_exposure_share","ai_pre_rating","independent_raters_required","reconciliation_status","release_use","task_source_level","source_url","source_current_role_id","source_current_masco_code","source_current_role_title","source_current_url","masco_reference_version","masco2020_remap_method","masco2020_remap_confidence","masco2020_source_pdf_page","masco2020_source_url","profile_basis","source_current_task_source_level"
"M132102","Production and Operation Manager, Manufacturing","132102","320","9","3","1","5","low","3","0.3333","medium","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1321-04","M132104","132104","Production Manager (Manufacturing)","https://emasco.mohr.gov.my/masco/1321-04","2020","reviewed_functional_equivalent","medium","320","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M132104","Electrical Manager","132104","321","7","3","0","4","medium","0","0.0","low","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1321-02","M132102","132102","Electrical Manager","https://emasco.mohr.gov.my/masco/1321-02","2020","exact_normalized_title","high","321","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M132105","Energy Manager","132105","321","9","1","0","8","medium","2","0.2222","low","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1321-03","M132103","132103","Energy Manager","https://emasco.mohr.gov.my/masco/1321-03","2020","exact_normalized_title","high","321","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M132108","Ship Hull Manager","132108","321","10","3","0","7","medium","2","0.2","low","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1321-05","M132105","132105","Ship Hull Manager","https://emasco.mohr.gov.my/masco/1321-05","2020","exact_normalized_title","high","321","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M132109","Mechanical Manager","132109","321","9","2","2","5","low","3","0.3333","medium","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1321-06","M132106","132106","Mechanical Manager","https://emasco.mohr.gov.my/masco/1321-06","2020","exact_normalized_title","high","321","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M132110","Welding Manager","132110","321","9","1","1","7","low","1","0.1111","low","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1321-07","M132107","132107","Welding Manager","https://emasco.mohr.gov.my/masco/1321-07","2020","exact_normalized_title","high","321","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M132111","Oil Mill Manager","132111","321","9","2","2","5","low","3","0.3333","medium","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1321-08","M132108","132108","Oil Mill Manager","https://emasco.mohr.gov.my/masco/1321-08","2020","exact_normalized_title","high","321","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M132112","Manager, Halal Food Manufacturing","132112","321","8","1","0","7","medium","0","0.0","low","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1321-09","M132109","132109","Manager (Halal Food Manufacturing)","https://emasco.mohr.gov.my/masco/1321-09","2020","exact_normalized_title","high","321","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M132126","Power Generation Plant Manager","132126","321","10","7","2","1","low","3","0.3","medium","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1321-11","M132111","132111","Power Generation Plant Manager","https://emasco.mohr.gov.my/masco/1321-11","2020","exact_normalized_title","high","321","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M132201","Production and Operation Manager, Mine","132201","321","10","3","2","5","low","3","0.3","medium","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1322-01","M132201","132201","Production and Operation Manager (Mine)","https://emasco.mohr.gov.my/masco/1322-01","2020","exact_normalized_title","high","321","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M132203","Production and Operation Manager, Oil and Gas Extraction","132203","321","9","1","1","7","low","0","0.0","low","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1322-02","M132202","132202","Production and Operation Manager (Oil and Gas Extraction)","https://emasco.mohr.gov.my/masco/1322-02","2020","exact_normalized_title","high","321","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M132207","Offshore Installation Manager","132207","321","10","2","0","8","medium","0","0.0","low","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1322-03","M132203","132203","Offshore Installation Manager","https://emasco.mohr.gov.my/masco/1322-03","2020","exact_normalized_title","high","321","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M132210","Manager, Metallurgy","132210","321","9","2","2","5","low","0","0.0","low","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1322-05","M132205","132205","Metallurgy Manager","https://emasco.mohr.gov.my/masco/1322-05","2020","title_variant","high","321","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M132301","Construction Manager","132301","321","10","4","2","4","low","3","0.3","medium","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1323-01","M132301","132301","Construction Manager","https://emasco.mohr.gov.my/masco/1323-01","2020","exact_normalized_title","high","321","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M132310","Building and Architecture Manager","132310","321","9","4","0","5","medium","3","0.3333","medium","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1323-02","M132302","132302","Building and Architecture Manager","https://emasco.mohr.gov.my/masco/1323-02","2020","exact_normalized_title","high","321","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M132311","Land Surveyor Manager","132311","321","9","4","0","5","medium","3","0.3333","medium","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1323-03","M132303","132303","Land Surveyor Manager","https://emasco.mohr.gov.my/masco/1323-03","2020","exact_normalized_title","high","321","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M132401","Railway Station Master","132401","322","9","1","1","7","low","2","0.2222","low","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1324-01","M132401","132401","Railway Station Master","https://emasco.mohr.gov.my/masco/1324-01","2020","exact_normalized_title","high","322","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=322","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M132402","Transport Manager","132402","322","9","3","0","6","medium","3","0.3333","medium","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1324-02","M132402","132402","Transport Manager","https://emasco.mohr.gov.my/masco/1324-02","2020","exact_normalized_title","high","322","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=322","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M132405","Logistics Manager","132405","322","10","3","0","7","medium","2","0.2","low","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1214-04","M121404","121404","Supply Chain and Logistics Management Manager","https://emasco.mohr.gov.my/masco/1214-04","2020","combined_title_split","medium","322","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=322","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M132414","Shipping Manager","132414","322","9","2","0","7","medium","2","0.2222","low","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1324-04","M132404","132404","Port/Shipping Operations Manager","https://emasco.mohr.gov.my/masco/1324-04","2020","reviewed_functional_equivalent","medium","322","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=322","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
