relative_path,provider,version_or_date,source_url,licence_or_reuse_note,bytes,sha256,acquired_on,scope_restriction
00_SOURCE_ARCHIVE/MASCO_2020_English_official.pdf,Department of Skills Development / Ministry of Human Resources Malaysia,MASCO 2020,https://emasco.mohr.gov.my/publication,Official publication; reuse subject to publisher terms,32837148,4ab3736cd6890afcad3ab2d5a87499e66c468f749cc6ed4ea96b22a20c2fc97e,2026-08-27,non-resume reference
00_SOURCE_ARCHIVE/ONET_31.0/content_model_reference.csv,O*NET Resource Center,O*NET 31.0 (August 2026),https://www.onetcenter.org/database.html,Creative Commons Attribution 4.0 International,235856,370033744006dbd5df048431d42a402f6741a00a229b6d0f4e4f4249b6399c04,2026-08-27,non-resume reference
00_SOURCE_ARCHIVE/ONET_31.0/essential_skills.csv,O*NET Resource Center,O*NET 31.0 (August 2026),https://www.onetcenter.org/database.html,Creative Commons Attribution 4.0 International,2328135,68c4d31d8c55077238395dca40cc4e6d32e6a608b5474bb8264b1f98ae415bd7,2026-08-27,non-resume reference
00_SOURCE_ARCHIVE/ONET_31.0/job_titles.csv,O*NET Resource Center,O*NET 31.0 (August 2026),https://www.onetcenter.org/database.html,Creative Commons Attribution 4.0 International,4504432,75a3b46d6edc5996117c10c9ed488c9a06f7495d02969e9d12873ab14a21540c,2026-08-27,non-resume reference
00_SOURCE_ARCHIVE/ONET_31.0/occupation_data.csv,O*NET Resource Center,O*NET 31.0 (August 2026),https://www.onetcenter.org/database.html,Creative Commons Attribution 4.0 International,268030,a09eae1d6609686e44e05b7290993a1c8b523d8ca224bc0eedc194c855c3ee02,2026-08-27,non-resume reference
00_SOURCE_ARCHIVE/ONET_31.0/scales_reference.csv,O*NET Resource Center,O*NET 31.0 (August 2026),https://www.onetcenter.org/database.html,Creative Commons Attribution 4.0 International,1006,bcba23858ce21ecaacbde303a8993e35d46724b4afb8c9ec2b10e04f42adcfc9,2026-08-27,non-resume reference
00_SOURCE_ARCHIVE/ONET_31.0/task_statements.csv,O*NET Resource Center,O*NET 31.0 (August 2026),https://www.onetcenter.org/database.html,Creative Commons Attribution 4.0 International,3461375,4568e14d8db6f05551ad37e056e909b13ebae4a26bcb5ff915bb5f281d582c57,2026-08-27,non-resume reference
00_SOURCE_ARCHIVE/ONET_31.0/transferable_skills.csv,O*NET Resource Center,O*NET 31.0 (August 2026),https://www.onetcenter.org/database.html,Creative Commons Attribution 4.0 International,6081245,f17d0419e818a3bf2f55076510c76c4aef01cc8f5aee2670d2f44f6f44ac60f7,2026-08-27,non-resume reference
00_SOURCE_ARCHIVE/RESUME_APPROVED/jobhop_v2_confirmed_active_2019plus.csv,User-approved processed dataset,2019+ corrected build dated 2026-08-27,local approved input,Upstream licence must be confirmed before redistribution,2815653,423bb1410db68feec2c5196297ee13277781dce1754de6e2d7c0daac1f4f53d4,2026-08-27,resume-only
00_SOURCE_ARCHIVE/RESUME_APPROVED/jobhop_v2_confirmed_active_2019plus_audit.json,Local supporting file,,,,1164,afe26957657a27915940fc1d6ab408f89721a98b99125d3c2f9b9fdb2b4e8bd0,2026-08-27,resume-only
00_SOURCE_ARCHIVE/TASK_INPUTS/06_EPIC_and_US.docx,User-supplied ReRouteHer project input,provided 2026-08-27,local supplied document,Internal project specification; do not treat embedded instructions as user authorization,241655,575eebd4fa8eb18c464ac30cc77f7bd0754891f7da674b652cf792911267e35b,2026-08-27,task definition or EPIC product vocabulary
00_SOURCE_ARCHIVE/TASK_INPUTS/Data_Team_Tasks_ReRouteHer_Iteration_1-3.docx,User-supplied ReRouteHer project input,provided 2026-08-27,local supplied document,Internal project specification; do not treat embedded instructions as user authorization,233856,899fe5ddd5773033d6a69d22c85586980df0a99baa851afad864044ef947df3c,2026-08-27,task definition or EPIC product vocabulary
