"source_current_role_id","source_current_masco_code","source_current_role_title","status","masco2020_role_ids","d13_esco_code","d13_esco_title","d11_esco_code","d11_esco_comparison_codes","d11_esco_comparison_titles","previous_d13_esco_code","source_mapping_relation","source_mapping_confidence"
"M217206","217206","Marine Officer Grade AL9","retained","M217201","3115.1.9","Marine Surveyor","","","","","partial_proxy","low"
"M217301","217301","Pilot","retained","M217303","3153.2","Aircraft Pilot","","","","","partial_proxy","low"
"M217302","217302","Flight Instructor","retained","M217305","3153.2.3","Flight Instructor","","","","","close_match","high"
"M217303","217303","Aircraft Design Engineer","retained","M217310","2144.1.1","Aerospace Engineer","","","","","close_match","medium"
"M217304","217304","Aeronautical Engineer","retained","M217311","2144.1.1","Aerospace Engineer","","","","","close_match","medium"
"M217306","217306","Marine Aviation Officer","retained","M217322","3154.3","Flight Operations Officer","","","","","partial_proxy","low"
"M217308","217308","Pilot/Pilot Inspector Grade AT9","retained","M217301","3154.2","Aviation Inspector","","","","","broader_proxy","medium"
"M217309","217309","Aircraft Examiner Grade AT9","retained","M217302","3154.2","Aviation Inspector","","","","","broader_proxy","medium"
"M217310","217310","Pilot/Pilot Examiner Grade AT10","retained","M217312","3154.2","Aviation Inspector","","","","","broader_proxy","medium"
"M217311","217311","Pilot/Pilot Examiner Grade AT12","retained","M217313","3154.2","Aviation Inspector","","","","","broader_proxy","medium"
"M217312","217312","Pilot/Pilot Examiner Grade AT13","retained","M217314","3154.2","Aviation Inspector","","","","","broader_proxy","medium"
"M217313","217313","Pilot/Pilot Examiner Grade AT14 (Flight Operation Director)","retained","M217315","3154.2","Aviation Inspector","","","","","broader_proxy","medium"
"M217401","217401","Air Traffic Controller","retained","M217402","3154.1","Air Traffic Controller","","","","","close_match","high"
"M217402","217402","Operation Centre Controller","retained","M217403","3154.3","Flight Operations Officer","","","","","broader_proxy","medium"
"M217404","217404","Air Traffic Control Officer Grade A9","retained","M217401","3154.1","Air Traffic Controller","","","","","close_match","medium"
"M217501","217501","Railway and Locomotive Operation Officer","retained","M217501","1324.3.1.3","Rail Operations Manager","","","","","broader_proxy","medium"
"M218101","218101","Mining Executive","retained","M218101","1322.1","Mine Manager","","","","","broader_proxy","medium"
"M218201","218201","Manufacturing Executive","retained","M218201","1321.2","Manufacturing Manager","","","","","partial_proxy","low"
"M218202","218202","Quality Assurance Executive","retained","M218202","1219.7","Quality Services Manager","","","","","broader_proxy","medium"
"M218203","218203","Store Executive","retained","M218207","1324.3.4","Warehouse Manager","","","","","partial_proxy","low"
"M218204","218204","Competent Person (CP) - Boilerman","retained","M818202","8182.1","Boiler Operator","","","","","close_match","medium"
"M218205","218205","Technical Service Adviser","retained","M218229","1349.21","Service Manager","","","","","partial_proxy","low"
"M218206","218206","Material Specialist","retained","M218231","2149.11","Materials Engineer","","","","","broader_proxy","medium"
"M218207","218207","Product Development Executive","excluded_from_active_dataset","","1223.2.1","Product Development Manager","","","","","broader_proxy","medium"
"M218301","218301","Construction Executive","retained","M218301","1323.1","Construction Manager","","","","","broader_proxy","medium"
"M221101","221101","Medical Doctor","retained","M221102","2211.1","General Practitioner","","","","","close_match","medium"
"M221102","221102","Medical Doctor (Gynaecology)","retained","M221107","2212.1","Specialised Doctor","","","","","broader_proxy","medium"
"M221103","221103","Medical Doctor (Cardiology)","retained","M221108","2212.1","Specialised Doctor","","","","","broader_proxy","medium"
"M221104","221104","Medical Doctor (Obstetrics)","retained","M221110","2212.1","Specialised Doctor","","","","","broader_proxy","medium"
"M221105","221105","Medical Doctor (Ophthalmology)","retained","M221111","2212.1","Specialised Doctor","","","","","broader_proxy","medium"
"M221106","221106","Medical Doctor (Psychiatry)","retained","M221112","2212.1","Specialised Doctor","","","","","broader_proxy","medium"
"M221107","221107","Medical Doctor (Radiology)","retained","M221113","2212.1","Specialised Doctor","","","","","broader_proxy","medium"
"M221108","221108","Medical Doctor (Skin)","retained","M221118","2212.1","Specialised Doctor","","","","","broader_proxy","medium"
"M221111","221111","Medical Officer Grade UD9, UD10","retained","M221101;M221120","2211.1","General Practitioner","","","","","close_match","medium"
"M221201","221201","Ear, Nose and Throat Specialist","retained","M221201","2212.1","Specialised Doctor","","","","","broader_proxy","medium"
"M221202","221202","Anaesthetist","retained","M221204","2212.1","Specialised Doctor","","","","","broader_proxy","medium"
"M221203","221203","Medical Oncologist","retained","M221206","2212.1","Specialised Doctor","","","","","broader_proxy","medium"
"M221204","221204","Psychiatrist","retained","M221208","2212.1","Specialised Doctor","","","","","broader_proxy","medium"
"M221205","221205","Ophthalmologist","retained","M221209","2212.1","Specialised Doctor","","","","","broader_proxy","medium"
"M221206","221206","Cardiologist","retained","M221210","2212.1","Specialised Doctor","","","","","broader_proxy","medium"
"M221207","221207","Neurologist","retained","M221211","2212.1","Specialised Doctor","","","","","broader_proxy","medium"
"M221208","221208","Obstetrician and Gynaecologist","retained","M221213","2212.1","Specialised Doctor","","","","","broader_proxy","medium"
"M221209","221209","Surgeon","retained","M221217","2212.1","Specialised Doctor","","","","","broader_proxy","medium"
"M221210","221210","Dermatologist","retained","M221233","2212.1","Specialised Doctor","","","","","broader_proxy","medium"
"M221211","221211","Orthopaedist","retained","M221234","2212.1","Specialised Doctor","","","","","broader_proxy","medium"
"M221212","221212","Paediatrician","retained","M221236","2212.1","Specialised Doctor","","","","","broader_proxy","medium"
