role_id,role_title,masco_code,masco_unit_group_code,candidate_rank,candidate_esco_code,candidate_esco_title,candidate_esco_uri,matched_label,matched_label_type,title_similarity,candidate_status,mapping_status,review_decision,reviewer,review_notes
M121409,Chief Business Officer,121409,1214,,,,,,,,no_esco_occupation_in_same_isco_group,no_unique_exact_esco_title_match,,,
M122301,Research and Development Manager,122301,1223,1,1223.2,research and development manager,http://data.europa.eu/esco/occupation/73ceb2f9-18e3-4cfe-9c06-e9fb31ece440,research and development manager,preferredLabel,1.000000,provisionally_used_pending_review,unique_exact_preferred_title_same_isco_group,,,
M131101,Forestry Manager,131101,1311,1,1311.1,forester,http://data.europa.eu/esco/occupation/f04eaeff-52f5-4d52-93ad-6f846884827f,forestry manager,altLabel,1.000000,provisionally_used_pending_review,unique_exact_alternate_title_same_isco_group,,,
M131102,Agricultural Manager,131102,1311,1,1311.1,forester,http://data.europa.eu/esco/occupation/f04eaeff-52f5-4d52-93ad-6f846884827f,forestry manager,altLabel,0.611111,review_only_not_used,no_unique_exact_esco_title_match,,,
M131103,Veterinary Manager,131103,1311,1,1311.1,forester,http://data.europa.eu/esco/occupation/f04eaeff-52f5-4d52-93ad-6f846884827f,forestry manager,altLabel,0.705882,review_only_not_used,no_unique_exact_esco_title_match,,,
M131104,Field Manager (Grass),131104,1311,1,1311.1,forester,http://data.europa.eu/esco/occupation/f04eaeff-52f5-4d52-93ad-6f846884827f,forest manager,altLabel,0.606061,review_only_not_used,no_unique_exact_esco_title_match,,,
M131201,Aquaculture and Fisheries Production/Operation Manager,131201,1312,1,1312.3,aquaculture production manager,http://data.europa.eu/esco/occupation/5945cba8-19a4-4632-8a8f-4186e2bad1a3,aquaculture production manager,preferredLabel,0.714286,review_only_not_used,no_unique_exact_esco_title_match,,,
M131201,Aquaculture and Fisheries Production/Operation Manager,131201,1312,2,1312.1,aquaculture harvesting manager,http://data.europa.eu/esco/occupation/4fe4b1f1-e84d-4056-b062-83d5a64fc571,aquaculture harvesting manager,preferredLabel,0.642857,review_only_not_used,no_unique_exact_esco_title_match,,,
M131201,Aquaculture and Fisheries Production/Operation Manager,131201,1312,3,1312.2,aquaculture husbandry manager,http://data.europa.eu/esco/occupation/a5826284-14fb-4866-b9be-69ce69db1b71,aquaculture on-growing manager,altLabel,0.619048,review_only_not_used,no_unique_exact_esco_title_match,,,
M132101,Manufacturing Manager,132101,1321,1,1321.2,manufacturing manager,http://data.europa.eu/esco/occupation/6426ada1-4d8c-4612-99e3-91bc569805ee,manufacturing manager,preferredLabel,1.000000,provisionally_used_pending_review,unique_exact_preferred_title_same_isco_group,,,
M132102,Electrical Manager,132102,1321,1,1321.2.1.7,metallurgical manager,http://data.europa.eu/esco/occupation/45517bc3-0887-416d-95fe-6ace1b90bddd,metallurgical manager,preferredLabel,0.769231,review_only_not_used,no_unique_exact_esco_title_match,,,
M132102,Electrical Manager,132102,1321,2,1321.2.4,sewerage systems manager,http://data.europa.eu/esco/occupation/9deee896-be9b-4aac-b55e-ceff1a7a843a,sewerage manager,altLabel,0.705882,review_only_not_used,no_unique_exact_esco_title_match,,,
M132102,Electrical Manager,132102,1321,3,1321.2.1.5,leather finishing operations manager,http://data.europa.eu/esco/occupation/a2bc52c2-9802-4929-a95c-6379d9f19204,plating manager,altLabel,0.666667,review_only_not_used,no_unique_exact_esco_title_match,,,
M132103,Energy Manager,132103,1321,1,1321.2.4,sewerage systems manager,http://data.europa.eu/esco/occupation/9deee896-be9b-4aac-b55e-ceff1a7a843a,sewerage manager,altLabel,0.800000,review_only_not_used,no_unique_exact_esco_title_match,,,
M132103,Energy Manager,132103,1321,2,1321.2.1.7,metallurgical manager,http://data.europa.eu/esco/occupation/45517bc3-0887-416d-95fe-6ace1b90bddd,metallurgy manager,altLabel,0.750000,review_only_not_used,no_unique_exact_esco_title_match,,,
