feature,idf
 trai,3.408920742810078
 tran,2.7786873876607023
 tre,5.736198448394496
 trea,5.736198448394496
 tu,6.0238805208462765
 tut,6.0238805208462765
 tuto,6.0238805208462765
 un,5.176582660459073
 uni,5.513054897080286
 univ,5.513054897080286
 unl,6.0238805208462765
 unlo,6.0238805208462765
 up,5.513054897080286
 up ,5.513054897080286
 us,2.963609726154714
 use,5.736198448394496
 user,6.0238805208462765
 usi,3.028148247292285
 usin,3.028148247292285
 va,6.0238805208462765
 val,6.0238805208462765
 ve,4.9252682321781664
 veh,5.330733340286331
 vehi,5.330733340286331
 ver,6.0238805208462765
 veri,6.0238805208462765
 vi,3.4336133554004498
 vis,3.4336133554004498
 visu,3.4336133554004498
 vo,3.7212954278522306
 voc,3.9036169846461855
 voca,3.9036169846461855
 vol,5.176582660459073
 volu,5.176582660459073
 wa,4.178053830347945
 wai,4.483435479899128
 wait,4.483435479899128
 war,5.736198448394496
 ware,5.736198448394496
 we,3.9869985935852363
 web,5.330733340286331
 web ,5.330733340286331
 wel,4.232121051618222
 welc,4.232121051618222
 wi,2.8050046959780754
 wit,2.8050046959780754
 with,2.8050046959780754
 wo,2.9793580831228534
 woo,5.736198448394496
 wood,5.736198448394496
 wor,3.028148247292285
 word,5.736198448394496
 work,3.0449553656086668
 wr,3.538973871058276
 wri,3.538973871058276
 writ,3.538973871058276
 yo,5.736198448394496
 you,5.736198448394496
 youn,6.0238805208462765
-mo,5.176582660459073
-mot,5.176582660459073
-moti,5.176582660459073
-vi,4.637586159726386
-vis,4.637586159726386
-visu,4.637586159726386
.00,3.5115748968701617
.00 ,3.5115748968701617
.25,1.6460292575828754
.25 ,1.6460292575828754
.5 ,6.0238805208462765
.50,2.0535886072941545
.50 ,2.0535886072941545
.75,2.633856439782246
.75 ,2.633856439782246
/po,6.0238805208462765
/pos,6.0238805208462765
/post,6.0238805208462765
/re,5.176582660459073
/res,5.176582660459073
/rest,5.176582660459073
/wa,4.483435479899128
/wai,4.483435479899128
/wait,4.483435479899128
0.5,2.703652201717788
0.50,2.703652201717788
0.50 ,2.703652201717788
0.7,4.232121051618222
0.75,4.232121051618222
0.75 ,4.232121051618222
00 ,3.5115748968701617
