"role_id","masco_code","role_title","candidate_rank","candidate_esco_code","candidate_esco_title","candidate_esco_uri","retrieval_score","title_cosine","profile_cosine","same_four_digit_group","selected_primary","status","score_is_probability"
"M121202","121202","Occupational Safety and Health Manager","1","1213.7","health safety and environmental manager","http://data.europa.eu/esco/occupation/57e87533-e523-4ee5-bf21-94a39fcc279b","0.778448","0.812345","0.785353","False","True","selected","False"
"M121202","121202","Occupational Safety and Health Manager","2","3257.5","occupational health and safety inspector","http://data.europa.eu/esco/occupation/673f3266-ab1a-447d-9b28-fc5838dc07e3","0.755179","0.817575","0.725955","False","False","alternative_not_used","False"
"M121202","121202","Occupational Safety and Health Manager","3","2263.3","health and safety officer","http://data.europa.eu/esco/occupation/789517fb-95ee-43d1-9530-c2860be1a439","0.74065","0.758415","0.733374","False","False","alternative_not_used","False"
"M121202","121202","Occupational Safety and Health Manager","4","3112.3","construction safety manager","http://data.europa.eu/esco/occupation/3f54ceba-3c4e-4ba1-8ddb-9e49a881a60a","0.697028","0.678022","0.745982","False","False","alternative_not_used","False"
"M121202","121202","Occupational Safety and Health Manager","5","3257.7","health and safety inspector","http://data.europa.eu/esco/occupation/2b31f745-f04f-4d2c-9692-4715e1448f80","0.687812","0.686106","0.72129","False","False","alternative_not_used","False"
"M121202","121202","Occupational Safety and Health Manager","6","2149.10","health and safety engineer","http://data.europa.eu/esco/occupation/a1273779-d2d4-4708-a406-62f7cdd26aab","0.678608","0.735721","0.620688","False","False","alternative_not_used","False"
"M121202","121202","Occupational Safety and Health Manager","7","3257.6","transport health and safety inspector","http://data.europa.eu/esco/occupation/1b422c31-f242-46b5-bbdc-aa63885e4b5c","0.624437","0.595584","0.647556","False","False","alternative_not_used","False"
"M121202","121202","Occupational Safety and Health Manager","8","1349.1","airside safety manager","http://data.europa.eu/esco/occupation/44ec4c04-c2d4-4b92-bb27-e56f5b096d97","0.616131","0.601535","0.620008","False","False","alternative_not_used","False"
"M121404","121404","Supply Chain and Logistics Management Manager","1","1324.8","supply chain manager","http://data.europa.eu/esco/occupation/aacc3918-b5d3-484b-9480-5d29aa550d74","0.833143","0.901851","0.780362","False","True","selected","False"
"M121404","121404","Supply Chain and Logistics Management Manager","2","1324.3","logistics and distribution manager","http://data.europa.eu/esco/occupation/823db06f-25e1-4658-b063-d6ef956b41f5","0.773003","0.81824","0.696809","False","False","alternative_not_used","False"
"M121404","121404","Supply Chain and Logistics Management Manager","3","1324.3.3","intermodal logistics manager","http://data.europa.eu/esco/occupation/a2ff6cc3-15fa-4f02-a457-8fd5df7aa29e","0.654562","0.71959","0.587367","False","False","alternative_not_used","False"
"M121404","121404","Supply Chain and Logistics Management Manager","4","3343.1.7","supply chain assistant","http://data.europa.eu/esco/occupation/c8b296be-54ae-48cf-be21-031fa8457937","0.639782","0.656883","0.600118","False","False","alternative_not_used","False"
"M121404","121404","Supply Chain and Logistics Management Manager","5","2421.5","logistics analyst","http://data.europa.eu/esco/occupation/51cd3a7a-eae6-4dc6-9f24-179d7ec6d230","0.633473","0.676013","0.594641","False","False","alternative_not_used","False"
"M121404","121404","Supply Chain and Logistics Management Manager","6","2149.2.6","logistics engineer","http://data.europa.eu/esco/occupation/c4071145-a774-4cf4-aefa-ae18a385cca4","0.611283","0.71478","0.521327","False","False","alternative_not_used","False"
"M121404","121404","Supply Chain and Logistics Management Manager","7","1324.3.4","warehouse manager","http://data.europa.eu/esco/occupation/2f5de1ab-eddf-4715-8193-e994912c22ea","0.605762","0.640757","0.615011","False","False","alternative_not_used","False"
"M121404","121404","Supply Chain and Logistics Management Manager","8","1321.2.1","industrial production manager","http://data.europa.eu/esco/occupation/eb9479c6-5fdf-4f45-ace4-28b547b8c7e5","0.602476","0.660983","0.562813","False","False","alternative_not_used","False"
"M121408","121408","Technology Manager","1","1223.2.2.1","ICT research manager","http://data.europa.eu/esco/occupation/9db7d74c-b46d-45c0-b611-6bcb7456ecc6","0.707308","0.755166","0.613805","False","False","alternative_not_used","False"
"M121408","121408","Technology Manager","2","1330.5","ICT operations manager","http://data.europa.eu/esco/occupation/f0ca39a8-1e30-487c-95f9-ef2d5e734adc","0.686789","0.742558","0.650585","False","True","selected","False"
"M121408","121408","Technology Manager","3","1330.3","chief technology officer","http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f","0.683013","0.745578","0.621048","False","False","alternative_not_used","False"
"M121408","121408","Technology Manager","4","1330.1.1","ICT information and knowledge manager","http://data.europa.eu/esco/occupation/810e5e67-acd5-499a-b307-cf5bea330859","0.659373","0.679954","0.619327","False","False","alternative_not_used","False"
"M121408","121408","Technology Manager","5","1330.6","ICT product manager","http://data.europa.eu/esco/occupation/a79170ad-0b7b-4697-864f-1748359aa10a","0.643974","0.697419","0.605518","False","False","alternative_not_used","False"
"M121408","121408","Technology Manager","6","1330.7","ICT project manager","http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525","0.64255","0.712755","0.555732","False","False","alternative_not_used","False"
"M121408","121408","Technology Manager","7","1330.10","ICT environmental manager","http://data.europa.eu/esco/occupation/c90e5009-37f2-4dcd-aea2-362fc817bc98","0.618816","0.660964","0.558506","False","False","alternative_not_used","False"
"M121408","121408","Technology Manager","8","1330.9","telecommunications manager","http://data.europa.eu/esco/occupation/3ce4691e-ecea-4278-939e-b89ab01087b8","0.615699","0.672409","0.486868","False","False","alternative_not_used","False"
"M121409","121409","Chief Business Officer","1","1120.3","chief executive officer","http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2","0.780908","0.867446","0.668149","False","True","selected","False"
"M121409","121409","Chief Business Officer","2","1221.3","chief marketing officer","http://data.europa.eu/esco/occupation/0ddbf393-38f1-4c22-b14c-fe775008f321","0.769345","0.849407","0.679928","False","False","alternative_not_used","False"
"M121409","121409","Chief Business Officer","3","1223.3","chief product officer","http://data.europa.eu/esco/occupation/8a0afc76-4a09-449a-9e7b-a33495889f95","0.734741","0.818962","0.63031","False","False","alternative_not_used","False"
"M121409","121409","Chief Business Officer","4","1120.4","chief operating officer","http://data.europa.eu/esco/occupation/c64a6e4e-5b38-4f93-b26d-aded817aeaf3","0.727879","0.822498","0.587886","False","False","alternative_not_used","False"
"M121409","121409","Chief Business Officer","5","1213.5","business manager","http://data.europa.eu/esco/occupation/544cd9cf-e2ee-4ac0-8a02-7147af6b97d7","0.704763","0.755957","0.685551","False","False","alternative_not_used","False"
"M121409","121409","Chief Business Officer","6","1330.2","chief information officer","http://data.europa.eu/esco/occupation/82f90e87-de92-4678-adae-61d3e5f7e1e4","0.701111","0.805667","0.560427","False","False","alternative_not_used","False"
