feature,idf
education no,3.293851413025291
education phd,6.0238805208462765
education secondary,2.791759469228055
education teacher,6.0238805208462765
educational,5.736198448394496
educational needs,6.0238805208462765
emergency,6.0238805208462765
employee,5.330733340286331
employee volunteering,5.330733340286331
energy,6.0238805208462765
energy sales,6.0238805208462765
engineer,6.0238805208462765
engineer education,6.0238805208462765
entrepreneur,6.0238805208462765
entrepreneur education,6.0238805208462765
equipment,5.736198448394496
event,5.176582660459073
event assistant,5.513054897080286
event manager,6.0238805208462765
financial,5.513054897080286
food,5.330733340286331
food safety,6.0238805208462765
food service,5.736198448394496
football,5.513054897080286
football coach,5.513054897080286
graphic,3.9869985935852363
graphic designer,3.9869985935852363
ground,5.736198448394496
ground operative,6.0238805208462765
head,5.736198448394496
head teacher,5.736198448394496
headteacher,6.0238805208462765
healthcare,6.0238805208462765
help,6.0238805208462765
help desk,6.0238805208462765
home,5.176582660459073
home worker,5.736198448394496
home young,6.0238805208462765
homelessness,6.0238805208462765
homelessness worker,6.0238805208462765
host,5.04305126783455
host restaurant,5.176582660459073
hostess,5.04305126783455
hostess education,5.330733340286331
human,4.819907716520341
human resources,4.819907716520341
ict,4.819907716520341
ict help,6.0238805208462765
ict teacher,5.736198448394496
illustrator,6.0238805208462765
illustrator education,6.0238805208462765
in,5.513054897080286
industrial,6.0238805208462765
information,5.736198448394496
information clerk,6.0238805208462765
inspector,5.513054897080286
instructor,5.330733340286331
instructor education,6.0238805208462765
integrator,6.0238805208462765
integrator education,6.0238805208462765
interface,6.0238805208462765
interpreter,5.736198448394496
interpreter education,6.0238805208462765
journalist,6.0238805208462765
kitchen,6.0238805208462765
kitchen assistant,6.0238805208462765
language,6.0238805208462765
language school,6.0238805208462765
languages,5.176582660459073
languages teacher,5.176582660459073
leader,6.0238805208462765
learning,6.0238805208462765
lecturer,5.330733340286331
lecturer education,6.0238805208462765
life,5.513054897080286
life coach,5.736198448394496
logistics,6.0238805208462765
management,6.0238805208462765
management assistant,6.0238805208462765
manager,3.2306725114037596
manager education,3.3612926938208236
manager sales,5.736198448394496
market,6.0238805208462765
market research,6.0238805208462765
marketer,4.637586159726386
marketer education,4.637586159726386
marketing,4.724597536716015
marketing assistant,5.330733340286331
marketing manager,5.513054897080286
master,2.368902618408021
media,4.9252682321781664
media designer,5.04305126783455
medical,5.736198448394496
member,5.736198448394496
mentor,6.0238805208462765
migrant,6.0238805208462765
migrant social,6.0238805208462765
modern,5.176582660459073
modern languages,5.176582660459073
motion,5.176582660459073
motion animator,5.176582660459073
music,5.736198448394496
music teacher,5.736198448394496
needs,6.0238805208462765
needs teacher,6.0238805208462765
no,3.293851413025291
no tertiary,3.293851413025291
nursery,6.0238805208462765
nursery school,6.0238805208462765
of,5.736198448394496
of state,6.0238805208462765
office,4.557543452052849
office clerk,5.330733340286331
office counter,6.0238805208462765
office manager,5.736198448394496
officer,4.724597536716015
officer education,4.819907716520341
online,4.637586159726386
online marketer,4.724597536716015
operative,6.0238805208462765
operator,5.513054897080286
operator education,5.736198448394496
order,6.0238805208462765
order picker,6.0238805208462765
parts,6.0238805208462765
people,6.0238805208462765
people care,6.0238805208462765
personal,5.176582660459073
personal trainer,5.330733340286331
phd,6.0238805208462765
photographer,5.736198448394496
photographer education,5.736198448394496
picker,6.0238805208462765
picker education,6.0238805208462765
post,6.0238805208462765
post office,6.0238805208462765
postman,6.0238805208462765
postman postwoman,6.0238805208462765
postwoman,6.0238805208462765
primary,5.330733340286331
primary school,5.330733340286331
processor,5.176582660459073
processor education,5.176582660459073
product,6.0238805208462765
products,6.0238805208462765
programme,5.176582660459073
programme coordinator,5.330733340286331
project,5.176582660459073
project manager,5.513054897080286
project support,6.0238805208462765
promotion,6.0238805208462765
promotions,5.513054897080286
promotions demonstrator,5.513054897080286
publisher,5.736198448394496
publisher education,6.0238805208462765
qualification,3.293851413025291
quality,5.513054897080286
quick,5.736198448394496
quick service,5.736198448394496
receptionist,5.736198448394496
receptionist education,5.736198448394496
recruitment,4.724597536716015
recruitment consultant,4.724597536716015
relations,5.513054897080286
relations manager,5.736198448394496
representative,4.557543452052849
representative education,4.9252682321781664
representative in,6.0238805208462765
research,5.330733340286331
research assistant,5.736198448394496
residential,5.330733340286331
residential care,6.0238805208462765
residential home,5.736198448394496
resources,4.819907716520341
resources assistant,5.04305126783455
restaurant,4.637586159726386
restaurant crew,5.736198448394496
restaurant host,5.176582660459073
restaurant hostess,5.176582660459073
restaurant manager,6.0238805208462765
road,6.0238805208462765
road transport,6.0238805208462765
room,6.0238805208462765
room attendant,6.0238805208462765
safety,6.0238805208462765
safety inspector,6.0238805208462765
sales,3.408920742810078
sales account,5.176582660459073
sales assistant,4.724597536716015
sales manager,6.0238805208462765
sales processor,5.176582660459073
sales representative,5.330733340286331
sales support,4.819907716520341
school,2.4685324593568625
school education,4.483435479899128
school head,6.0238805208462765
school modern,6.0238805208462765
school teacher,4.557543452052849
school teaching,5.736198448394496
science,6.0238805208462765
science teacher,6.0238805208462765
scientist,6.0238805208462765
scientist education,6.0238805208462765
secondary,2.5273729593797962
secondary school,2.5273729593797962
secretary,4.637586159726386
secretary education,5.330733340286331
secretary of,6.0238805208462765
seller,5.176582660459073
seller education,5.513054897080286
service,4.349904087274605
service representative,5.04305126783455
service restaurant,5.736198448394496
service vocational,6.0238805208462765
shipping,6.0238805208462765
shipping agent,6.0238805208462765
shop,4.557543452052849
shop assistant,4.819907716520341
shop manager,6.0238805208462765
social,4.724597536716015
social care,5.736198448394496
social worker,5.330733340286331
software,5.736198448394496
special,5.736198448394496
special educational,6.0238805208462765
specialised,5.176582660459073
specialised seller,5.176582660459073
specialist,5.513054897080286
specialist education,6.0238805208462765
sports,6.0238805208462765
sports instructor,6.0238805208462765
stagehand,6.0238805208462765
stagehand education,6.0238805208462765
state,6.0238805208462765
stop,5.176582660459073
stop motion,5.176582660459073
supply,4.349904087274605
supply chain,4.349904087274605
support,4.414442608412176
support assistant,4.819907716520341
support officer,5.330733340286331
switchboard,6.0238805208462765
switchboard operator,6.0238805208462765
system,6.0238805208462765
teacher,3.6885056050292397
teacher education,4.637586159726386
teacher primary,6.0238805208462765
teacher secondary,4.349904087274605
teaching,5.513054897080286
teaching assistant,5.513054897080286
technician,5.04305126783455
technician education,5.176582660459073
telecommunications,6.0238805208462765
telecommunications equipment,6.0238805208462765
telephone,6.0238805208462765
telephone switchboard,6.0238805208462765
tennis,6.0238805208462765
tennis coach,6.0238805208462765
tertiary,3.293851413025291
tertiary qualification,3.293851413025291
trainer,5.176582660459073
trainer education,5.513054897080286
transport,5.736198448394496
transport division,6.0238805208462765
tutor,6.0238805208462765
university,5.513054897080286
university research,5.736198448394496
user,6.0238805208462765
user interface,6.0238805208462765
vocational,6.0238805208462765
vocational teacher,6.0238805208462765
volunteering,5.330733340286331
volunteering programme,5.330733340286331
waiter,4.483435479899128
waiter waitress,4.483435479899128
waitress,4.483435479899128
waitress education,4.9252682321781664
warehouse,5.736198448394496
warehouse order,6.0238805208462765
web,5.330733340286331
web content,5.736198448394496
web developer,6.0238805208462765
worker,3.9444389791664403
worker education,4.178053830347945
writer,5.736198448394496
writer education,6.0238805208462765
young,6.0238805208462765
young people,6.0238805208462765
